Name,Record,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Nicolas Dalby,21-4-1 (2 NC),"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",3.74,41%,3.35,53%,1.09,30%,65%,0.1
Paul Daley,39-15-2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0
Dave Dalgliesh,30-19-2,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978",0.00,0%,1.85,50%,0.00,0%,0%,0.0
Richard Dalton,4-3-1,"6' 1""",205 lbs.,--,Orthodox,--,1.20,69%,3.27,25%,1.00,11%,0%,0.0
Aisling Daly,16-6-0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.40,55%,2.15,41%,33%,0.9
Marko Damiani,0-2-0,"6' 0""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Leonardo Damiani,10-3-1,"5' 10""",170 lbs.,"69""",Orthodox,"Aug 30, 1990",1.67,23%,4.17,37%,0.00,0%,50%,0.0
Rodrigo Damm,13-9-0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",3.50,36%,5.61,57%,0.44,16%,80%,0.3
Carina Damm,2-13-0,"5' 4""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Batgerel Danaa,12-5-0,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",5.38,36%,4.21,47%,0.52,50%,62%,0.0
Cindy Dandois,8-3-0,"5' 7""",135 lbs.,--,Orthodox,"Oct 26, 1984",3.13,32%,3.40,58%,5.00,55%,0%,0.0
Peter Danesoe,5-2-0,"5' 9""",125 lbs.,--,Orthodox,"Sep 01, 2000",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jarjis Danho,7-1-1 (1 NC),"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",3.38,50%,5.25,49%,0.51,16%,100%,0.0
Raymond Daniels,0-1-0,"6' 2""",185 lbs.,--,Southpaw,--,0.00,0%,2.61,38%,0.00,0%,33%,3.0
Marques Daniels,5-5-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexandre Dantas,0-3-0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",0.21,25%,1.87,60%,0.00,0%,0%,3.1
Eduardo Dantas,20-4-0,"5' 10""",135 lbs.,--,,"Feb 03, 1989",3.33,60%,3.00,60%,4.00,23%,100%,0.0
Mac Danzig,21-12-1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,48%,3.44,57%,1.20,37%,46%,0.6
Karen Darabedyan,13-6-0,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986",3.43,51%,2.62,67%,2.14,75%,0%,0.0
Beneil Dariush,22-4-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.81,49%,2.55,58%,1.95,34%,80%,0.9
Sean Daugherty,0-2-0,"6' 0""",175 lbs.,--,,"Dec 04, 1975",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kyle Daukaus,11-4-0 (1 NC),"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.22,52%,2.94,42%,2.12,25%,82%,1.9
Chris Daukaus,12-6-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1989",6.41,50%,4.48,57%,0.00,0%,100%,0.0
Brian Davidson,13-4-0,"5' 6""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rick Davis,3-1-1,"5' 9""",155 lbs.,--,Orthodox,--,3.09,50%,6.19,64%,0.00,0%,0%,0.0
Marcus Davis,22-11-0 (1 NC),"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,1.60,48%,47%,1.4
LC Davis,23-8-0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",2.04,30%,2.10,59%,2.27,46%,66%,0.2
Phil Davis,17-4-0 (1 NC),"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6
Lemont Davis,2-6-0,"5' 8""",170 lbs.,--,Orthodox,--,0.87,54%,1.27,55%,1.00,50%,0%,1.0
Mike Davis,2-0-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin Davis,13-16-0,"5' 11""",205 lbs.,--,,"Apr 01, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexis Davis,21-11-0,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",4.63,49%,4.45,54%,0.95,44%,34%,0.7
Danny Davis,13-11-1,"6' 2""",170 lbs.,--,,"Jul 28, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brandon Davis,14-10-0,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",4.68,35%,4.62,58%,0.74,42%,57%,0.1
Mike Davis,10-2-0,"6' 0""",155 lbs.,"72""",Orthodox,"Oct 07, 1992",5.83,52%,6.20,56%,3.04,53%,69%,0.2
Hakeem Dawodu,13-3-1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.33,50%,3.15,57%,0.00,0%,65%,0.0
Grant Dawson,19-1-1,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",3.12,51%,2.41,45%,3.80,34%,40%,1.6
Jason Day,19-12-0,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",3.61,54%,3.46,47%,1.13,100%,0%,0.0
Martin Day,8-6-0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
Angel De Anda,18-6-0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985",5.68,46%,6.32,47%,0.00,0%,0%,0.0
Yorgan De Castro,6-3-0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",2.46,43%,3.85,53%,0.00,0%,77%,0.0
Geraldo de Freitas,12-6-0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",3.67,52%,2.62,50%,3.00,45%,59%,0.0
Philip De Fries,12-6-0 (1 NC),"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",2.30,47%,3.00,37%,3.29,42%,100%,0.6
Chris de la Rocha,5-3-0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,45%,6.37,43%,2.02,30%,33%,1.0
Montana De La Rosa,12-8-1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.47,37%,3.06,42%,1.94,31%,64%,0.9
Mark De La Rosa,11-5-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.00,48%,0.54,13%,40%,0.2
Mike de la Torre,14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0
Rodrigo de Lima,8-3-1,"5' 7""",155 lbs.,--,Orthodox,"Mar 12, 1991",1.29,33%,5.50,32%,2.66,36%,0%,1.3
Edilberto de Oliveira,29-15-2,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982",4.12,32%,6.79,61%,0.00,0%,0%,0.0
Johil de Oliveira,17-15-1 (1 NC),"5' 6""",170 lbs.,--,Orthodox,--,0.51,34%,0.73,58%,1.10,50%,44%,0.6
Jorge de Oliveira,9-2-0,"5' 8""",155 lbs.,--,Orthodox,"Jan 22, 1980",1.26,31%,4.84,48%,0.00,0%,22%,0.0
Isabela de Padua,5-2-0,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",1.00,35%,2.07,50%,2.00,66%,0%,1.0
Gloria de Paula,6-5-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 10, 1995",4.89,53%,3.77,66%,0.74,37%,65%,0.5
Germaine de Randamie,10-4-0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.72,46%,2.14,65%,0.00,0%,69%,0.4
Crezio de Souza,1-2-0,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Carl Deaton,17-6-0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989",0.10,8%,0.20,75%,0.00,0%,33%,0.0
Tom DeBlass,9-2-0,"6' 0""",185 lbs.,--,Orthodox,"May 14, 1982",1.50,35%,4.43,37%,1.00,50%,28%,0.5
Issac DeJesus,12-7-1 (1 NC),--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
RafaelDel Real,6-20-0,"5' 11""",225 lbs.,--,,--,5.58,40%,0.00,0%,20.93,100%,100%,0.0
Shane del Rosario,11-2-0,"6' 4""",250 lbs.,--,Southpaw,"Sep 23, 1983",3.93,60%,2.97,54%,1.20,40%,16%,2.4
Wallen Del Rosario,8-2-0,"5' 4""",125 lbs.,"67""",Orthodox,"Mar 18, 1993",1.40,32%,4.73,40%,1.00,16%,100%,0.0
Humberto DeLeon,7-7-0,--,135 lbs.,--,,"Nov 12, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rolando Delgado,11-6-1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
Israel Delgado,0-2-0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ante Delija,17-3-0,"6' 4""",245 lbs.,--,Orthodox,"Aug 07, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jack Della Maddalena,14-2-0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",8.27,49%,4.29,68%,0.00,0%,71%,0.6
Roland Delorme,9-5-0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6
Jon Delos Reyes,8-5-0,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.20,83%,55%,1.9
Jason DeLucia,33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin DeMoney,15-7-1,--,170 lbs.,--,,"Jul 01, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Vanessa Demopoulos,9-5-0,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988",3.71,42%,5.61,43%,0.58,13%,50%,0.8
Chris Dempsey,11-5-0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0
Nick Denis,11-3-0,"5' 7""",135 lbs.,--,Orthodox,"Oct 11, 1983",6.54,53%,5.42,36%,2.80,100%,80%,0.0
Jhonata Deniz,5-0-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Thomas Denny,27-21-1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",2.36,45%,4.69,40%,1.48,17%,42%,1.5
Robert Densley,9-10-0,"5' 9""",155 lbs.,--,,--,1.81,47%,0.40,60%,0.00,0%,50%,0.0
Jason Dent,22-13-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",2.01,39%,3.70,62%,0.00,0%,26%,1.4
Mackenzie Dern,13-3-0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.36,40%,4.09,51%,0.81,15%,40%,1.5
Booker DeRousse,6-5-0,"6' 2""",205 lbs.,--,,"Mar 23, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tony DeSouza,11-4-0,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",1.12,52%,1.57,41%,2.25,42%,40%,1.5
Cory Devela,16-7-0,"5' 0""",185 lbs.,--,Orthodox,--,4.07,41%,4.00,47%,1.07,12%,62%,0.0
John Devine,6-4-0,--,--,--,,--,1.52,18%,2.28,57%,0.00,0%,0%,0.0
Edwin DeWees,38-17-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",1.53,33%,6.19,39%,2.18,66%,0%,3.3
Alessio Di Chirico,13-7-0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.32,39%,3.44,61%,1.46,39%,83%,0.0
Micol Di Segni,7-3-0,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987",7.47,40%,5.87,33%,0.00,0%,37%,0.0
Cyrille Diabate,19-10-1,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2
Thomas Diagne,6-6-1,"6' 1""",154 lbs.,--,,"Sep 03, 1983",4.53,48%,4.53,63%,2.00,100%,66%,0.0
Marc Diakiese,16-6-0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",2.73,40%,2.63,53%,3.33,43%,67%,0.0
Tyler Diamond,9-1-0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",3.40,47%,2.53,44%,3.00,75%,70%,0.0
Blood Diamond,3-2-0,"5' 11""",170 lbs.,"76""",Switch,"Jul 10, 1988",3.26,63%,2.04,43%,0.00,0%,69%,0.0
Eldo Xavier Dias,0-1-0,"5' 11""",180 lbs.,--,,"Jul 16, 1964",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael Dias,17-12-2,"5' 9""",145 lbs.,--,Orthodox,"Oct 20, 1979",1.13,27%,2.19,60%,3.17,47%,100%,1.2
Hacran Dias,23-6-1,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.50,39%,76%,0.5
Nick Diaz,26-10-0 (2 NC),"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0
Nate Diaz,22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.57,45%,3.77,52%,1.05,30%,41%,1.3
Michael Diaz,1-2-0,--,260 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ryan Diaz,13-14-0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adrian Diaz,11-4-1,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988",0.48,42%,3.84,51%,2.40,50%,0%,0.0
Ozzy Diaz,7-2-0,"6' 4""",185 lbs.,"79""",Orthodox,"Nov 22, 1990",1.65,32%,3.91,44%,0.00,0%,0%,0.0
Mark Dickman,11-3-0,"5' 9""",145 lbs.,--,,"Jul 19, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Diekmann,15-8-0 (1 NC),"5' 4""",246 lbs.,--,,"Oct 09, 1976",0.28,5%,8.17,25%,0.00,0%,0%,0.0
Kyle Dietz,5-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986",1.82,45%,2.08,62%,0.00,0%,0%,0.0
Seth Dikun,9-8-0,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980",1.45,26%,2.18,55%,0.00,0%,45%,0.9
TJ Dillashaw,18-5-0,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986",5.09,41%,3.47,62%,1.56,30%,77%,0.8
Ralph Dillon,0-2-1,"6' 2""",205 lbs.,--,Orthodox,--,0.34,14%,0.69,60%,0.00,0%,0%,0.0
Drew Dimanlig,3-4-0,--,185 lbs.,--,,--,3.70,73%,3.17,20%,0.00,0%,0%,0.0
Rodolfo Marques Diniz,23-9-1,"5' 6""",135 lbs.,--,,"Jan 23, 1984",1.08,32%,2.36,33%,0.00,0%,50%,1.8
Helio Dipp,6-3-0,"6' 5""",185 lbs.,--,Orthodox,--,0.60,25%,1.80,62%,0.00,0%,50%,0.0
Rico DiSciullo,9-2-0 (1 NC),"5' 8""",135 lbs.,--,Orthodox,"Oct 12, 1986",1.71,33%,4.41,56%,0.00,0%,0%,0.0
Matt Dixon,9-1-0,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995",1.97,43%,4.56,37%,3.06,30%,0%,0.0
John Dixson,15-22-0,"6' 0""",275 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony Do,4-2-0,"5' 4""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Russell Doane,15-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8
Drew Dober,26-12-0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.48,39%,4.50,51%,0.69,17%,56%,0.1
Shana Dobson,4-5-0,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.34,37%,5.20,50%,0.84,50%,14%,0.0
AJ Dobson,6-2-0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",4.34,46%,6.00,47%,1.75,80%,64%,0.4
David Dodd,4-7-0,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Dodson,22-12-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.20,40%,3.58,61%,0.71,28%,82%,0.0
Joe Doerksen,51-16-0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3
Mike Dolce,5-10-0,"5' 11""",185 lbs.,--,,"Apr 15, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roman Dolidze,12-2-0,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",3.02,44%,3.01,55%,1.72,50%,33%,1.7
Cameron Dollar,11-5-0,"5' 11""",155 lbs.,--,Orthodox,"May 12, 1987",5.04,38%,2.94,61%,0.00,0%,0%,0.0
CB Dollaway,17-9-0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2
Dennis Dombrow,7-5-0 (1 NC),--,145 lbs.,--,,"Mar 17, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
OJ Dominguez,0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Donaldson,2-2-0,"5' 8""",145 lbs.,--,,"Jul 09, 1992",1.21,23%,4.22,51%,0.00,0%,0%,0.0
Cody Donovan,8-5-0,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59%,5.44,45%,1.67,28%,0%,1.7
Houston Dorr,1-2-0,"6' 1""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael Dos Anjos,32-14-0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.56,47%,3.21,61%,2.05,35%,59%,0.6
Junior Dos Santos,21-9-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.30,50%,81%,0.1
Geronimo dos Santos,39-19-0,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980",1.09,33%,8.73,41%,0.00,0%,33%,0.0
Antonio Dos Santos,6-4-0,"5' 10""",185 lbs.,--,Orthodox,"Jul 21, 1988",5.40,51%,3.94,43%,0.00,0%,100%,0.0
Anderson Dos Santos,21-9-0,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.70,25%,5.37,49%,0.98,14%,66%,0.7
Acacio Dos Santos,14-5-0,"6' 4""",205 lbs.,"79""",Orthodox,"Sep 29, 1991",1.27,41%,1.40,43%,0.00,0%,31%,0.0
Felipe dos Santos,7-0-0,--,125 lbs.,--,,"Sep 11, 2000",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tiago dos Santos e Silva,20-7-2 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3
Oleksandr Doskalchuk,10-2-0,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
David Douglas,9-7-0,"5' 11""",155 lbs.,--,,"Aug 16, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Damion Douglas,4-1-0,--,170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Cedric Doumbe,2-0-0,"5' 10""",170 lbs.,--,,"Aug 13, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Dowdy,0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jordan Dowdy,4-3-0,--,170 lbs.,--,,--,2.11,44%,2.63,50%,0.00,0%,0%,0.0
Danny Downes,8-3-0,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,34%,3.53,37%,0.00,0%,37%,0.5
Derek Downey,11-4-0,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980",0.32,100%,3.36,12%,2.40,16%,0%,0.0
John Doyle,11-22-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976",3.50,44%,10.51,27%,0.00,0%,0%,0.0
Edson Drago,11-7-0,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977",1.16,40%,2.39,36%,0.00,0%,55%,0.0
Kyle Driscoll,12-3-0,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,32%,2.60,58%,2.00,18%,0%,0.0
Chris Drumm,0-1-0 (1 NC),"5' 8""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tomasz Drwal,21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38%,2.26,57%,3.55,60%,82%,0.4
Robert Drysdale,7-0-0 (1 NC),"6' 3""",205 lbs.,--,Orthodox,"Oct 05, 1981",0.00,0%,0.00,0%,7.32,100%,0%,21.9
Dricus Du Plessis,19-2-0,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",6.72,55%,3.73,53%,2.83,47%,50%,1.3
Hugo Duarte,6-3-0,"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Antonio Duarte,19-7-0,"5' 7""",135 lbs.,--,,--,4.55,40%,4.18,57%,0.00,0%,60%,0.0
Joe Duarte,10-4-0,--,155 lbs.,--,,"Jan 25, 1977",2.27,38%,4.00,53%,3.00,50%,69%,1.0
Emily Ducote,12-8-0,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",6.64,46%,8.38,54%,0.00,0%,90%,0.0
Viktoriia Dudakova,6-0-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 26, 1999",1.27,73%,1.73,39%,4.00,50%,0%,0.0
Milana Dudieva,11-6-0,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0
Adin Duenas,6-1-0,"5' 6""",145 lbs.,--,,"Jul 02, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Todd Duffee,9-3-0 (1 NC),"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,37%,2.87,56%,0.72,25%,90%,0.0
Joe Duffy,16-5-0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7
Alexis Dufresne,6-3-0,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",1.33,27%,3.33,60%,1.50,50%,50%,0.0
Jessamyn Duke,3-5-0 (1 NC),"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",4.83,53%,4.43,57%,1.27,36%,50%,1.9
Isaac Dulgarian,5-0-0,"5' 7""",145 lbs.,--,Orthodox,"Jul 04, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kelly Dullanty,4-2-0,"5' 8""",155 lbs.,--,Orthodox,"Nov 04, 1977",0.00,0%,0.67,75%,0.00,0%,66%,0.0
Sedriques Dumas,7-1-0,"6' 2""",185 lbs.,"79""",Orthodox,"Aug 06, 1995",2.50,46%,3.87,46%,1.71,50%,0%,1.7
Norma Dumont,9-2-0,"5' 7""",145 lbs.,"67""",Orthodox,"Oct 01, 1990",3.45,48%,2.07,67%,1.16,57%,72%,0.0
Chris Duncan,10-1-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",4.69,52%,4.69,41%,4.73,36%,0%,0.0
Christian Duncan,8-0-0,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",4.82,64%,2.14,33%,0.00,0%,0%,0.0
Evan Dunham,18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0
Alex Dunworth,2-2-0 (1 NC),"5' 8""",155 lbs.,--,,--,1.94,31%,8.71,35%,0.00,0%,50%,0.0
Tom Duquesnoy,16-2-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",3.83,45%,5.30,62%,0.42,25%,46%,0.0
Albert Duraev,16-4-0,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",2.94,40%,2.53,63%,2.07,27%,50%,0.7
Reuben Duran,11-7-1,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",3.19,49%,2.61,50%,0.98,23%,25%,0.7
Cody Durden,15-4-1,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.27,50%,3.21,48%,5.73,48%,71%,0.2
Luiz Dutra,13-6-1,"5' 11""",170 lbs.,--,Orthodox,"May 06, 1982",3.92,50%,4.80,41%,0.00,0%,100%,0.0
Rilley Dutro,11-4-0,"5' 8""",125 lbs.,--,Orthodox,"Sep 03, 1987",4.74,54%,5.95,33%,0.00,0%,83%,0.0
Bill Duvall,1-2-0,"6' 2""",185 lbs.,--,Southpaw,--,0.00,0%,2.40,40%,0.00,0%,0%,0.0
Merab Dvalishvili,16-4-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.46,41%,2.41,56%,6.55,36%,78%,0.3
David Dvorak,20-5-0,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",3.47,42%,3.21,59%,0.48,28%,81%,0.2
Matt Dwyer,9-4-0,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34%,3.24,54%,0.44,10%,60%,0.0
Rolando Dy,9-7-1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.30,20%,68%,0.0
Ben Earwood,12-3-0,"5' 8""",170 lbs.,--,Orthodox,--,0.50,55%,0.20,33%,3.00,100%,0%,0.0
Cody East,12-3-0,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",4.15,43%,7.32,40%,3.97,100%,16%,0.0
Marvin Eastman,18-15-1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,35%,3.92,42%,1.38,33%,81%,0.0
Mike Easton,13-6-0,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",3.51,37%,4.28,61%,0.75,22%,66%,0.0
Maurice Eazel,7-15-0,"5' 7""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Vincent Eazelle,9-2-0,"5' 11""",155 lbs.,--,,"Dec 07, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ross Ebanez,20-10-0 (3 NC),"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",0.74,50%,0.74,62%,3.70,100%,0%,0.0
