Name,Wins,Losses,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,URL
Taylor Callens,6,0,70.0,155.0,,,1991-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/53d471e9bf5f2fc8
Cynthia Calvillo,9,5,64.0,125.0,64.0,Orthodox,1987-07-13,4.16,0.39,3.95,0.65,1.88,0.44,0.75,0.9,http://ufcstats.com/fighter-details/98215d037be5bcb7
Joe Camacho,13,19,69.0,155.0,,Orthodox,1972-03-10,0.31,0.17,5.0,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dfb965c9824425db
Frank Camacho,22,10,70.0,155.0,73.0,Orthodox,1989-05-18,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0.0,http://ufcstats.com/fighter-details/764342d39cdaa54a
Fabricio Camoes,14,9,70.0,155.0,71.0,Orthodox,1978-12-23,1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5,http://ufcstats.com/fighter-details/7abe471b61725980
Chris Camozzi,24,13,74.0,185.0,75.0,Orthodox,1986-11-20,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,http://ufcstats.com/fighter-details/6c2030e0a143a94b
Brian Camozzi,7,5,74.0,170.0,78.0,Orthodox,1991-06-24,3.15,0.26,6.39,0.54,0.0,0.0,0.0,0.7,http://ufcstats.com/fighter-details/1999ffb5cebc314f
Ricky Camp,11,4,67.0,135.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4a99978a0366bb29
Mike Campbell,13,4,69.0,155.0,,Southpaw,,1.4,0.26,1.4,0.63,5.26,1.0,0.0,0.0,http://ufcstats.com/fighter-details/f5585e675af7afd4
Thomas Campbell,3,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d060014a5a039829
Shane Campbell,14,6,72.0,155.0,71.0,Orthodox,1987-01-21,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0.0,http://ufcstats.com/fighter-details/784285b7ae7dd85f
Charlie Campbell,6,2,72.0,155.0,,Orthodox,1995-07-03,9.32,0.43,8.74,0.57,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
John Campetella,0,1,69.0,235.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7
Wagner Campos,12,10,66.0,145.0,,Southpaw,1981-07-31,1.54,0.41,2.53,0.51,2.71,1.0,0.0,0.0,http://ufcstats.com/fighter-details/db6d5f691aea3fd3
Derek Campos,19,6,69.0,155.0,,,1988-04-01,2.41,0.23,10.34,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/aa8dc72b3a1f761c
Will Campuzano,14,6,69.0,125.0,70.0,Orthodox,1986-05-27,2.43,0.31,3.82,0.57,0.88,0.45,0.48,0.2,http://ufcstats.com/fighter-details/901cddcbfa079097
Aleksa Camur,6,2,73.0,205.0,74.0,Orthodox,1995-09-25,4.78,0.59,3.15,0.6,0.59,0.25,0.5,0.0,http://ufcstats.com/fighter-details/c2a670b22d2e196f
Chico Camus,17,7,66.0,125.0,66.0,Orthodox,1985-01-26,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,http://ufcstats.com/fighter-details/32be4b7f7de1c905
Asbel Cancio,0,1,70.0,225.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2a7afe14b3a0a058
Carlos Candelario,8,3,68.0,125.0,68.0,Southpaw,1991-06-04,3.97,0.46,5.17,0.44,2.28,0.36,0.53,0.3,http://ufcstats.com/fighter-details/760a55d5b6098cbe
Ronaldo Candido,6,0,66.0,125.0,,Southpaw,1989-04-24,1.67,0.42,3.87,0.52,8.0,0.53,0.0,5.0,http://ufcstats.com/fighter-details/23fbe02caabcd214
Luiz Cane,17,7,74.0,185.0,77.0,Southpaw,1981-04-24,4.79,0.41,5.0,0.6,0.56,0.28,1.0,0.3,http://ufcstats.com/fighter-details/24b033b3daf1c9df
Guido Cannetti,10,8,66.0,135.0,68.0,Southpaw,1979-12-19,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4,http://ufcstats.com/fighter-details/d05412b513b19621
Jared Cannonier,16,6,71.0,185.0,77.0,Switch,1984-03-16,4.0,0.5,3.86,0.61,0.17,0.25,0.64,0.0,http://ufcstats.com/fighter-details/13a0275fa13c4d26
Jose Canseco,0,1,76.0,240.0,,Orthodox,1964-07-02,0.78,0.1,4.68,0.62,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/03da33a102d9a45f
Cody Canterbury,1,10,68.0,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/23100e8f71f25a4a
Bo Cantrell,10,10,74.0,235.0,,Orthodox,1969-02-08,3.16,0.16,12.63,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6750e338922a099d
Steve Cantwell,7,6,74.0,185.0,75.0,Orthodox,1986-12-08,3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7,http://ufcstats.com/fighter-details/f1f9e48a0d150757
Paul Capaldo,6,0,67.0,135.0,,,1996-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/83b8fe74224dd642
Phil Caracappa,6,1,68.0,135.0,70.0,Orthodox,1992-06-05,2.93,0.5,4.07,0.29,1.0,0.08,1.0,1.0,http://ufcstats.com/fighter-details/bd81a97864acf098
Frank Caracci,2,3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/44f9c777fed7ca03
Gina Carano,7,1,68.0,145.0,,Orthodox,1982-04-16,4.5,0.47,2.66,0.64,1.24,0.66,0.85,1.6,http://ufcstats.com/fighter-details/899eaba48fa864a6
Dos Caras Jr.,9,5,76.0,225.0,,Orthodox,1977-05-25,0.77,0.23,1.2,0.59,0.0,0.0,0.72,0.0,http://ufcstats.com/fighter-details/155a02a8b4311057
Bryan Caraway,21,9,68.0,135.0,68.0,Orthodox,1984-08-04,2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8,http://ufcstats.com/fighter-details/5ef0088c1b19beeb
Remo Cardarelli,7,5,,135.0,,,,2.27,0.47,1.47,0.59,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/e5512a6aed150d8f
Phil Cardella,8,5,71.0,155.0,,,1976-07-09,2.47,0.5,2.0,0.57,0.0,0.0,0.11,2.5,http://ufcstats.com/fighter-details/f6a7b02c42e9fc5b
Edgar Cardenas,4,1,,145.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/99a86b134dccc166
Chris Cariaso,17,8,63.0,125.0,64.0,Southpaw,1981-05-27,3.35,0.43,2.23,0.61,1.11,0.39,0.57,0.8,http://ufcstats.com/fighter-details/b2e3aca4cd363477
Ronald Carillo,4,2,,125.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/cbd022eaf2ac546a
Rafael Carino,2,1,80.0,245.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/08a7080ff5904661
Don Carlo-Clauss,10,7,,170.0,,,,1.44,0.3,7.68,0.43,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/f59a6de8a5dfe297
Antonio Carlos Junior,11,5,74.0,185.0,79.0,Orthodox,1990-03-16,1.95,0.42,2.14,0.52,3.42,0.39,0.53,0.8,http://ufcstats.com/fighter-details/52e76bb4b3e852f3
Spike Carlyle,9,3,68.0,145.0,71.0,Switch,1993-05-06,2.55,0.54,3.85,0.3,3.34,0.36,0.57,0.5,http://ufcstats.com/fighter-details/be68b375707dcb85
Francis Carmont,25,12,75.0,205.0,78.0,Orthodox,1981-10-11,2.22,0.42,1.64,0.59,1.79,0.36,0.73,0.6,http://ufcstats.com/fighter-details/3591d0d5d382a381
Liz Carmouche,13,7,66.0,125.0,66.0,Orthodox,1984-02-19,2.78,0.54,2.51,0.61,2.57,0.51,0.65,0.3,http://ufcstats.com/fighter-details/51a0c09cbe9b8472
Roan Carneiro,21,11,71.0,170.0,76.0,Orthodox,1978-06-02,1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4,http://ufcstats.com/fighter-details/1c86754617d9813a
Ariane Carnelossi,14,3,62.0,115.0,61.0,Orthodox,1992-11-17,3.04,0.4,4.72,0.43,1.62,0.55,0.08,0.3,http://ufcstats.com/fighter-details/c0d5c0c95c59050b
Luana Carolina,8,3,66.0,125.0,69.0,Orthodox,1993-06-11,4.64,0.5,3.55,0.47,0.0,0.0,0.82,1.0,http://ufcstats.com/fighter-details/528b071cf3da7c56
Tim Caron,7,1,73.0,185.0,,Orthodox,1987-07-24,0.59,0.5,6.9,0.12,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b80ea4880f25c187
Clayton Carpenter,7,0,66.0,125.0,66.0,Orthodox,1996-06-09,4.5,0.51,2.85,0.6,2.47,0.5,0.0,2.5,http://ufcstats.com/fighter-details/b62d5280966b2460
Gabriel Carrasco,7,0,66.0,135.0,,,,4.15,0.37,1.53,0.8,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/89ed44801968b8e3
Cody Carrillo,11,16,70.0,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9346efb4bbaedd08
Cain Carrizosa,10,3,68.0,155.0,,Orthodox,1986-07-22,2.72,0.42,5.8,0.51,0.0,0.0,0.14,0.0,http://ufcstats.com/fighter-details/064b7dc68d786254
Roger Carroll,16,14,70.0,170.0,,,,7.62,0.61,10.48,0.43,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/572a89dbe1f76761
Jonny Carson,11,7,70.0,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0d49ddc07bd8c747
Scott Carson,4,2,74.0,215.0,,,,0.62,0.66,6.22,0.23,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1e3302f9ab6f549a
Shonie Carter,51,31,70.0,170.0,,Southpaw,1972-05-03,1.62,0.36,2.32,0.47,0.75,0.66,0.75,0.0,http://ufcstats.com/fighter-details/7b6e40a73b567072
Jack Cartwright,10,1,69.0,135.0,68.0,Orthodox,1994-05-26,0.8,0.38,3.33,0.29,6.0,0.66,0.0,2.0,http://ufcstats.com/fighter-details/1f592bfefb0d62a3
Bruno Carvalho,10,5,68.0,154.0,,,1982-06-07,0.6,0.45,0.93,0.53,0.0,0.0,0.66,4.0,http://ufcstats.com/fighter-details/456c02115efc4a01
Antonio Carvalho,15,6,69.0,145.0,70.0,Orthodox,1979-05-30,3.03,0.29,3.62,0.64,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/fef3d17e27e916e7
Rafael Carvalho,14,1,75.0,185.0,,,1986-07-27,1.94,0.5,1.84,0.54,2.77,0.4,0.7,0.0,http://ufcstats.com/fighter-details/620d8710e89cfeae
Shane Carwin,12,2,74.0,265.0,80.0,Orthodox,1975-01-04,4.38,0.47,3.53,0.53,1.42,0.33,0.42,0.0,http://ufcstats.com/fighter-details/68dd7b3783c19f9c
Johnny Case,22,6,70.0,155.0,72.0,Orthodox,1989-06-28,3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2,http://ufcstats.com/fighter-details/1f4b04a926ef1287
Kevin Casey,9,5,71.0,185.0,77.0,Southpaw,1981-06-15,2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4,http://ufcstats.com/fighter-details/8d9586726252dbf7
Cortney Casey,10,10,67.0,125.0,67.0,Orthodox,1987-05-05,4.29,0.39,4.0,0.55,0.39,0.31,0.39,0.5,http://ufcstats.com/fighter-details/5f179af5fffeb9f6
Brandon Cash,10,4,77.0,255.0,,Orthodox,,5.42,0.72,0.68,0.33,10.17,0.66,0.0,0.0,http://ufcstats.com/fighter-details/3993f7dcb7caf42a
Bendy Casimir,20,14,65.0,145.0,,Southpaw,1980-06-10,0.74,0.27,3.42,0.54,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/ec7ac09293d26c05
Dwayne Cason,1,1,70.0,212.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/31c01fbc2586a5eb
Joe Cason,9,1,75.0,205.0,,,1988-01-19,4.17,0.55,10.83,0.23,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2b1c6f28039efe36
John Castaneda,19,6,66.0,135.0,71.0,Switch,1991-12-18,4.66,0.47,5.0,0.54,1.34,0.33,0.6,0.3,http://ufcstats.com/fighter-details/5fa2974cbd18e05c
Eric Castile,3,2,68.0,145.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a0a69dc9914ef6e1
Gil Castillo,8,5,69.0,170.0,,Southpaw,1965-10-21,0.6,0.45,2.22,0.44,3.33,0.45,0.5,0.0,http://ufcstats.com/fighter-details/31ceaf0e670c1578
Danny Castillo,17,10,69.0,155.0,71.0,Orthodox,1979-08-25,2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf
Raul Castillo,7,1,71.0,185.0,,Orthodox,,1.47,0.48,3.27,0.6,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/feeae92f951f49a9
Jenna Castillo,1,0,62.0,125.0,,,1982-05-05,3.24,0.56,2.01,0.57,1.68,1.0,1.0,0.0,http://ufcstats.com/fighter-details/e680418329c84ec4
Tim Catalfo,4,2,71.0,235.0,,Orthodox,,0.39,1.0,0.77,0.33,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6ca68b636fbc1f18
Nick Catone,10,4,72.0,185.0,72.0,Southpaw,1981-09-01,2.11,0.44,2.32,0.63,3.71,0.44,0.83,0.5,http://ufcstats.com/fighter-details/f8fe2053d73d7bcf
Luke Caudillo,17,17,67.0,155.0,,Orthodox,1980-11-30,1.97,0.28,5.07,0.55,0.44,0.2,0.85,0.0,http://ufcstats.com/fighter-details/68d76fd9ecf7431d
Gesias Cavalcante,21,10,68.0,155.0,71.0,Orthodox,1983-07-06,1.98,0.35,3.11,0.51,1.25,0.36,0.66,1.1,http://ufcstats.com/fighter-details/2a74bbba57058f12
Rafael Cavalcante,12,7,73.0,205.0,74.0,Orthodox,1980-04-14,2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1,http://ufcstats.com/fighter-details/5c1ca0c72b599a3c
Magnus Cedenblad,14,5,77.0,185.0,79.0,Orthodox,1982-04-10,2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0,http://ufcstats.com/fighter-details/0e21976afc92e4d1
Yosdenis Cedeno,10,6,68.0,155.0,69.0,Orthodox,1985-02-12,1.64,0.29,1.6,0.67,0.0,0.0,0.31,0.3,http://ufcstats.com/fighter-details/3e61082025db8137
Henry Cejudo,16,2,64.0,135.0,64.0,Orthodox,1987-02-09,3.92,0.45,2.77,0.65,2.12,0.33,0.93,0.2,http://ufcstats.com/fighter-details/056c493bbd76a918
Adam Cella,6,8,74.0,170.0,,,1985-06-26,1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3,http://ufcstats.com/fighter-details/b27b8881d7444114
Vinicius Cenci,7,2,73.0,155.0,74.0,Orthodox,1995-11-24,2.9,0.48,2.69,0.62,1.61,0.5,0.0,0.0,http://ufcstats.com/fighter-details/f21a152aaa3e95c6
Donald Cerrone,36,17,73.0,155.0,73.0,Orthodox,1983-03-29,4.41,0.46,4.48,0.53,1.16,0.33,0.73,1.2,http://ufcstats.com/fighter-details/1d00756835ca67c9
Jared Chaffee,5,2,70.0,155.0,,,1984-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/fdf59144e535bc38
Luan Chagas,15,3,72.0,170.0,75.0,Orthodox,1993-06-17,4.16,0.47,3.19,0.62,0.32,0.12,0.85,0.3,http://ufcstats.com/fighter-details/9ccf8371fd80d45d
Edgar Chairez,8,4,67.0,125.0,,Orthodox,1996-01-27,3.4,0.4,5.27,0.48,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/5ef94841c4bc3f86
Ansar Chalangov,14,5,69.0,170.0,,Orthodox,1979-10-30,0.68,0.66,1.69,0.54,0.0,0.0,0.0,7.6,http://ufcstats.com/fighter-details/7342fcc41a4817fa
Alex Chambers,5,5,63.0,115.0,63.0,Southpaw,1978-10-25,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d
Michael Chandler,23,8,68.0,155.0,71.0,Orthodox,1986-04-24,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9,http://ufcstats.com/fighter-details/4b93a88f3b1de35b
Chelsea Chandler,5,1,68.0,145.0,68.0,Southpaw,1990-11-23,8.94,0.54,2.82,0.55,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/af9efbfd63d39734
Donnie Chappell,0,1,71.0,178.0,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8788beb528894f33
Joe Charles,6,13,73.0,260.0,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/19ffeb5e3fffd6d5
Dan Charles,10,6,74.0,228.0,,,1985-09-24,2.82,0.45,3.51,0.44,0.0,0.0,0.31,0.0,http://ufcstats.com/fighter-details/32a4f1235f0dad73
Ernest Chavez,10,2,68.0,145.0,70.0,Orthodox,1983-06-27,2.79,0.4,3.89,0.59,0.89,0.33,0.5,0.0,http://ufcstats.com/fighter-details/b406da701c479076
Emilio Chavez,12,9,69.0,145.0,,,,2.73,0.48,1.53,0.54,3.0,0.5,0.0,0.0,http://ufcstats.com/fighter-details/84e8920e59ff14a7
Danny Chavez,11,5,68.0,145.0,67.0,Orthodox,1987-03-14,2.86,0.38,3.83,0.5,1.95,0.6,0.87,0.0,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c
Gabriel Checco,10,2,73.0,185.0,,Switch,1986-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9c5f7d5c6d084b35
Albert Cheng,7,4,71.0,170.0,,Orthodox,1985-02-07,1.0,0.41,2.6,0.71,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0
Fabio Cherant,7,4,73.0,205.0,74.0,Southpaw,1994-11-25,1.35,0.4,4.89,0.38,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/78a68f1dade6aaf7
Ion Cherdivara,1,1,,205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c713a845360d604b
Mark Cherico,11,1,67.0,145.0,69.0,Orthodox,1986-05-12,3.69,0.34,7.37,0.56,5.03,0.5,0.0,0.0,http://ufcstats.com/fighter-details/79a193111e3bc99b
Macy Chiasson,9,3,71.0,135.0,72.0,Orthodox,1991-07-27,3.64,0.44,2.61,0.46,2.17,0.34,0.64,0.3,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
Michael Chiesa,18,6,73.0,170.0,75.0,Southpaw,1987-12-07,1.88,0.41,1.67,0.54,3.39,0.54,0.6,1.0,http://ufcstats.com/fighter-details/c58f51dedb310998
Giga Chikadze,14,3,72.0,145.0,74.0,Orthodox,1988-08-25,4.05,0.42,3.35,0.62,0.26,0.33,0.69,0.3,http://ufcstats.com/fighter-details/9560ff14eb3129f7
Khamzat Chimaev,12,0,74.0,170.0,75.0,Orthodox,1994-05-01,7.3,0.59,3.98,0.41,3.98,0.57,1.0,3.5,http://ufcstats.com/fighter-details/767755fd74662dbf
Sako Chivitchian,8,1,71.0,155.0,,,1984-03-11,2.4,0.27,4.8,0.46,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4
Mu Bae Choi,12,6,74.0,230.0,,Orthodox,1970-06-27,1.55,0.49,3.65,0.44,3.12,0.75,0.6,1.0,http://ufcstats.com/fighter-details/371a1c91b24dec2b
Hong Man Choi,4,5,86.0,330.0,,Orthodox,1980-10-30,1.32,0.26,1.46,0.36,0.71,1.0,0.84,0.0,http://ufcstats.com/fighter-details/2c104b7e59a72629
Dooho Choi,14,4,70.0,145.0,70.0,Orthodox,1991-04-10,4.74,0.53,4.91,0.54,0.29,0.2,0.5,0.0,http://ufcstats.com/fighter-details/e93b04e308913c2e
SeungWoo Choi,10,6,72.0,145.0,74.0,Orthodox,1992-11-03,3.43,0.37,3.19,0.45,0.85,0.5,0.66,0.0,http://ufcstats.com/fighter-details/a68575214ecad140
SeungGuk Choi,6,2,66.0,125.0,64.0,Orthodox,1996-12-26,2.29,0.39,2.5,0.6,1.04,0.27,0.84,0.0,http://ufcstats.com/fighter-details/adccbc19b22e19af
John Cholish,8,3,71.0,155.0,74.0,Orthodox,1983-12-17,2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4,http://ufcstats.com/fighter-details/03c9994c5b8958ec
Ryo Chonan,22,13,69.0,170.0,70.0,Orthodox,1976-10-08,2.57,0.43,2.25,0.6,0.61,0.41,0.39,0.3,http://ufcstats.com/fighter-details/55a7b2d4e54ffac9
Katlyn Chookagian,18,5,69.0,125.0,68.0,Orthodox,1988-12-28,4.59,0.34,4.41,0.63,0.27,0.15,0.54,0.3,http://ufcstats.com/fighter-details/e872e9a9a902c045
Will Chope,34,13,76.0,145.0,,Switch,1990-09-08,4.43,0.27,9.93,0.46,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/db5dc7cb80d7d418
Joachim Christensen,14,6,75.0,205.0,76.0,Orthodox,1978-11-07,3.78,0.41,3.29,0.46,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2d447cc91bdaa545
Dan Christison,20,7,80.0,265.0,,Orthodox,1972-04-26,4.23,0.51,3.88,0.54,0.0,0.0,0.37,1.1,http://ufcstats.com/fighter-details/b369533a577fa97c
Anthony Christodoulou,12,7,69.0,155.0,,Orthodox,1987-07-30,2.19,0.26,5.9,0.45,0.0,0.0,0.4,0.0,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb
Murad Chunkaiev,8,4,71.0,185.0,,Orthodox,,0.85,0.16,3.41,0.66,8.53,1.0,0.0,0.0,http://ufcstats.com/fighter-details/d4a12dfa4067742f
Cameron Church,4,1,71.0,155.0,72.0,Orthodox,1990-09-27,4.0,0.4,4.93,0.5,0.0,0.0,0.6,1.0,http://ufcstats.com/fighter-details/f197ce0cbe69996d
Steven Ciaccio,4,4,72.0,170.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/eaebaa6801338ea1
Mike Ciesnolevicz,19,4,72.0,235.0,,Orthodox,1979-10-28,0.51,0.5,4.62,0.57,0.0,0.0,0.2,5.1,http://ufcstats.com/fighter-details/51b0bb73a1da34bc
Hannah Cifers,10,7,61.0,115.0,62.0,Orthodox,1992-06-26,4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3,http://ufcstats.com/fighter-details/2244d9a2b64b8c3b
Branko Cikatic,0,2,73.0,215.0,,Orthodox,1954-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4e5bbc4566049cbf
Nikolajus Cilkinas,2,6,,,,Orthodox,,0.0,0.0,5.88,0.16,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3f3550bf126a5721
Misha Cirkunov,15,9,75.0,205.0,77.0,Orthodox,1987-02-27,3.86,0.51,3.06,0.57,4.15,0.39,0.76,1.7,http://ufcstats.com/fighter-details/67f272324a030d00
Johnny Cisneros,9,6,71.0,170.0,,,1980-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/42611508ba8c3298
Laverne Clark,27,21,71.0,170.0,,Orthodox,1973-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1c2f2571b18791b6
Logan Clark,18,6,74.0,185.0,,Orthodox,1985-02-16,2.2,0.54,1.49,0.53,0.31,1.0,0.3,2.1,http://ufcstats.com/fighter-details/6776260cb0aef647
Mychal Clark,10,14,75.0,224.0,,Orthodox,,5.8,0.56,2.9,0.59,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/69108cb8b32efe04
Dominic Clark,10,7,70.0,155.0,,,1985-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8a64b3f87ad29d1e
Heather Clark,7,6,66.0,115.0,64.0,Orthodox,1980-09-19,3.69,0.49,5.62,0.5,0.33,0.04,0.8,0.3,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9
Devin Clark,14,7,72.0,205.0,75.0,Orthodox,1990-04-12,2.91,0.55,2.71,0.45,2.36,0.34,0.59,0.1,http://ufcstats.com/fighter-details/cc7040fe76f0ef91
Jessica-Rose Clark,11,8,65.0,135.0,64.0,Orthodox,1987-11-28,4.02,0.52,3.59,0.59,1.76,0.52,0.63,0.3,http://ufcstats.com/fighter-details/6c8072b61c276e67
John Clarke,1,1,,170.0,,,1977-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a77c71a574132188
Mitch Clarke,11,5,70.0,155.0,73.0,Orthodox,1985-11-24,2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4,http://ufcstats.com/fighter-details/c76ec2bc3a57666a
Rich Clementi,45,23,69.0,155.0,72.0,Southpaw,1976-03-31,1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2
Chris Clements,12,6,70.0,170.0,70.0,Orthodox,1976-02-09,3.2,0.49,2.37,0.44,0.0,0.0,0.32,0.3,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc
RJ Clifford,4,3,,160.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8e32bfcff3ec1717
Mark Climaco,8,1,,125.0,,,1997-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/60098849c703e389
Josh Clopton,6,2,66.0,145.0,,Orthodox,1981-07-11,1.6,0.64,2.87,0.5,2.0,0.66,0.75,0.0,http://ufcstats.com/fighter-details/48e96d9cea6d4ab0
Brian Cobb,20,9,71.0,155.0,,Orthodox,,0.0,0.0,3.68,0.55,5.81,0.5,0.0,0.0,http://ufcstats.com/fighter-details/3138fab619faf4d1
Darryl Cobb,6,8,69.0,185.0,,,1980-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dc6d8256ee3dfba5
Dave Cochran,26,29,66.0,155.0,,,1973-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6dbb1107de9a4a08
Dakota Cochrane,29,12,68.0,155.0,,,1986-05-01,2.66,0.75,2.66,0.3,4.43,0.33,0.0,0.0,http://ufcstats.com/fighter-details/8fa7e0bc052185ce
Marloes Coenen,23,8,69.0,145.0,67.0,,1981-03-31,2.15,0.51,1.9,0.67,0.82,0.3,0.41,2.5,http://ufcstats.com/fighter-details/0b77a05bcbd2de74
